35.88,0.75,11.68,coat
54.14,0.83,20.86,jacket
40.12,0.84,4.17,jacket
54.11,0.88,6.15,jacket
36.13,0.87,3.83,jacket
34.23,0.88,3.36,jacket
35.83,0.68,3.76,jacket
28.2,0.79,3.72,coat
17.72,0.67,10.77,coat
24.27,0.79,9.42,coat
28.67,0.7,5.48,coat
28.35,0.87,11.1,coat
32.91,0.63,10.27,coat
18.5,0.75,4.12,coat
51.05,0.91,9.85,jacket
45.69,0.75,11.3,jacket
33.7,0.68,8.2,coat
40.11,0.71,9.43,jacket
32.09,0.81,10.88,coat
32.76,0.87,6.84,coat
38.55,0.65,8.64,jacket
32.68,0.81,3.52,coat
37.11,0.73,21.48,coat
48.74,0.83,16.97,jacket
38.91,0.76,10.6,jacket
33.5,0.84,9.75,coat
49.01,0.75,15.81,jacket
35.14,0.83,6.78,coat
38.28,0.79,0.79,jacket
36.02,0.8,3.75,jacket
33.5,0.82,3.65,jacket
28.97,0.83,6.31,coat
21.95,0.71,7.54,coat
24.73,0.87,5.85,coat
35.15,0.51,8.01,coat
26.05,0.71,4.24,coat
44.22,0.52,5.89,jacket
32.67,0.73,5.26,coat
38.36,0.67,3.27,jacket
35.48,0.77,8.3,coat
39.74,0.79,17.17,jacket
59.48,0.95,3.65,jacket
53.3,0.75,1.74,jacket
41.41,0.85,3.84,jacket
50.62,0.79,2.32,jacket
47.71,0.79,3.59,jacket
53.31,0.54,8.14,jacket
57.62,0.9,5.41,jacket
52.82,0.68,3.81,jacket
39.38,0.82,4.37,jacket
47.07,0.88,12.5,jacket
50.34,0.86,8.16,jacket
57.85,0.33,6.15,jacket
40.56,0.73,5.39,jacket
62.17,0.67,4.33,tshirt
49.76,0.77,5.78,jacket
55.91,0.71,1.06,jacket
54.08,0.86,4.04,jacket
51.18,0.74,5.81,jacket
55.37,0.8,8.67,jacket
78.36,0.72,1.79,tshirt
70.32,0.85,3.93,tshirt
66.52,0.94,6.44,tshirt
66.71,0.87,5.17,tshirt
71.87,0.52,5.49,tshirt
59.22,0.72,4.72,jacket
78.76,0.48,5.9,tshirt
70.57,0.85,5.54,tshirt
70.6,0.63,4.95,tshirt
57.35,0.67,6.77,jacket
69.11,0.83,3.96,tshirt
65.77,0.87,1.99,tshirt
81.49,0.66,6.99,tshirt
66.97,0.92,7.11,tshirt
80.75,0.58,4.79,tshirt
63.42,0.76,5.65,tshirt
65.24,0.73,3.43,tshirt
60.87,0.91,2.47,tshirt
63.68,0.77,4.38,tshirt
69.91,0.89,7.27,tshirt
68.05,0.91,2.63,tshirt
61.34,0.77,3.85,tshirt
73.38,0.52,6.21,tshirt
60.85,0.8,4.68,tshirt
68.64,0.69,6.1,tshirt
59.88,0.8,7.29,jacket
65.96,0.61,4.31,tshirt
60.68,0.76,2.45,tshirt
80.26,0.71,3.84,tshirt
70.24,0.87,3.6,tshirt
77.51,0.77,2.62,tshirt
70.29,0.83,5.3,tshirt
73.11,0.7,4.62,tshirt
67.98,0.88,2.19,tshirt
75.64,0.59,1.88,tshirt
62.93,0.74,3.89,tshirt
76.33,0.57,5.26,tshirt
68.98,0.77,7.39,tshirt
80.39,0.57,2.31,tshirt
68.94,0.83,2.94,tshirt
75.39,0.57,6.51,tshirt
67.4,0.81,1.87,tshirt
77.98,0.58,1.61,tshirt
70.51,0.9,6.48,tshirt
81.44,0.47,6.54,tshirt
70.46,0.72,4.38,tshirt
71.19,0.6,2.97,tshirt
65.01,0.8,3.76,tshirt
76.76,0.68,4.64,tshirt
76.06,0.88,1.98,tshirt
84,0.67,5.13,tshirt
72.5,0.84,1.75,tshirt
84.55,0.51,3.48,tshirt
67.87,0.74,3.05,tshirt
72.96,0.64,3.3,tshirt
66.88,0.83,3.27,tshirt
78.57,0.63,4.68,tshirt
65.9,0.78,3.04,tshirt
79.05,0.82,2.65,tshirt
75.92,0.85,3.92,tshirt
78.46,0.73,2.44,tshirt
71.96,0.88,5.04,tshirt
72.89,0.57,5.35,tshirt
70.89,0.85,5.52,tshirt
80.17,0.57,2.13,tshirt
71.2,0.79,1.33,tshirt
72.79,0.9,3.93,tshirt
69.31,0.84,6.26,tshirt
67.11,0.56,3.79,tshirt
60.09,0.82,5.61,tshirt
71.27,0.68,3.1,tshirt
62.01,0.92,1.63,tshirt
65.05,0.94,5.49,tshirt
61.73,0.65,7.96,tshirt
71.57,0.48,5.39,tshirt
60.16,0.6,5.43,tshirt
77.36,0.62,8.15,tshirt
67.73,0.7,8.08,tshirt
65.29,0.79,3.91,tshirt
57.37,0.94,3.87,jacket
57.83,0.4,2.39,jacket
49.78,0.63,7.5,jacket
73.6,0.52,2.68,tshirt
59.91,0.92,2.33,jacket
67.95,0.91,2.86,tshirt
69.33,0.88,9.24,tshirt
74.61,0.68,7.77,tshirt
68.19,0.85,6.98,tshirt
70.76,0.77,1.97,tshirt
55.34,0.55,10.23,jacket
